sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,lpbt_m_latop,0_18,20830348.304335,6020398.0,6020556.0
1b,mixed,mem,lpbt_m_latop,0_19,27091990.909429,6218875.0,6219066.0
1b,mixed,mem,lpbt_m_latop,0_2,32845364.70277,6405745.0,6405975.0
1b,mixed,mem,lpbt_m_latop,0_21,37668275.974778,6580758.0,6580982.0
1b,mixed,mem,lpbt_m_latop,0_22,41894178.987242,6753666.0,6753889.0
1b,mixed,mem,lpbt_m_latop,0_23,48223830.411467,6911642.0,6911928.0
1b,mixed,mem,lpbt_m_latop,0_24,56514916.029967,7040860.0,7041151.0
1b,mixed,mem,lpbt_m_latop,0_25,66539913.141786,7126405.0,7126709.0
1b,mixed,mem,lpbt_m_latop,0_26,75829307.015767,7198761.0,7199030.0
1b,mixed,mem,lpbt_m_latop,0_27,85305183.05206,7249006.0,7249311.0
1b,mixed,mem,lpbt_m_latop,0_28,94456866.317481,7302751.0,7303081.0
1b,mixed,mem,lpbt_m_latop,0_29,101871503.196129,7362957.0,7363277.0
1b,mixed,mem,kite_large,0_01,8358.969592,359869.0,359872.0
1b,mixed,mem,kite_large,0_02,8448.217362,719812.0,719818.0
1b,mixed,mem,kite_large,0_03,8560.35422,1079452.0,1079458.0
1b,mixed,mem,kite_large,0_04,8682.482811,1438057.0,1438068.0
1b,mixed,mem,kite_large,0_05,8815.049404,1796351.0,1796367.0
1b,mixed,mem,kite_large,0_06,8958.240067,2155391.0,2155407.0
1b,mixed,mem,kite_large,0_07,9118.094891,2515138.0,2515163.0
1b,mixed,mem,kite_large,0_08,9289.169786,2874591.0,2874616.0
1b,mixed,mem,kite_large,0_09,9480.280499,3234003.0,3234032.0
1b,mixed,mem,kite_large,0_1,9691.144591,3593850.0,3593887.0
1b,mixed,mem,kite_large,0_11,9920.332638,3952431.0,3952472.0
1b,mixed,mem,kite_large,0_12,10182.086564,4311894.0,4311936.0
1b,mixed,mem,kite_large,0_13,10475.221929,4671491.0,4671519.0
1b,mixed,mem,kite_large,0_14,10817.025451,5031852.0,5031913.0
1b,mixed,mem,kite_large,0_15,11205.174901,5392263.0,5392329.0
1b,mixed,mem,kite_large,0_16,11656.020336,5751413.0,5751473.0
1b,mixed,mem,kite_large,0_17,12203.216335,6110991.0,6111058.0
1b,mixed,mem,kite_large,0_18,12861.033813,6469605.0,6469692.0
1b,mixed,mem,kite_large,0_19,13728.940703,6828284.0,6828360.0
1b,mixed,mem,kite_large,0_2,14897.198192,7187601.0,7187717.0
1b,mixed,mem,kite_large,0_21,16837.667505,7548076.0,7548194.0
1b,mixed,mem,kite_large,0_22,23758.388386,7906836.0,7906969.0
1b,mixed,mem,kite_large,0_23,2486183.401187,8220582.0,8220765.0
1b,mixed,mem,kite_large,0_24,8705285.044044,8449159.0,8449363.0
1b,mixed,mem,kite_large,0_25,15928485.596957,8648142.0,8648362.0
1b,mixed,mem,kite_large,0_26,23473568.196222,8825333.0,8825537.0
1b,mixed,mem,kite_large,0_27,30155530.900723,8993056.0,8993310.0
1b,mixed,mem,kite_large,0_28,37133112.249449,9147555.0,9147824.0
1b,mixed,mem,kite_large,0_29,43239614.391745,9308049.0,9308271.0
1b,mixed,mem,ns_m_bwop,0_01,8759.573201,359870.0,359872.0
1b,mixed,mem,ns_m_bwop,0_02,8864.071085,719812.0,719818.0
1b,mixed,mem,ns_m_bwop,0_03,8984.341311,1079451.0,1079458.0
1b,mixed,mem,ns_m_bwop,0_04,9109.94079,1438058.0,1438068.0
1b,mixed,mem,ns_m_bwop,0_05,9247.309721,1796351.0,1796367.0
1b,mixed,mem,ns_m_bwop,0_06,9393.521787,2155393.0,2155407.0
1b,mixed,mem,ns_m_bwop,0_07,9554.730423,2515136.0,2515163.0
1b,mixed,mem,ns_m_bwop,0_08,9727.936315,2874587.0,2874616.0
1b,mixed,mem,ns_m_bwop,0_09,9915.245738,3234003.0,3234032.0
1b,mixed,mem,ns_m_bwop,0_1,10127.21104,3593848.0,3593887.0
1b,mixed,mem,ns_m_bwop,0_11,10355.128096,3952430.0,3952472.0
1b,mixed,mem,ns_m_bwop,0_12,10620.272374,4311896.0,4311937.0
1b,mixed,mem,ns_m_bwop,0_13,10921.355765,4671490.0,4671519.0
1b,mixed,mem,ns_m_bwop,0_14,11273.902007,5031850.0,5031916.0
1b,mixed,mem,ns_m_bwop,0_15,11687.233702,5392264.0,5392326.0
1b,mixed,mem,ns_m_bwop,0_16,12166.024865,5751409.0,5751474.0
1b,mixed,mem,ns_m_bwop,0_17,12766.089958,6110989.0,6111059.0
1b,mixed,mem,ns_m_bwop,0_18,13537.936678,6469604.0,6469692.0
1b,mixed,mem,ns_m_bwop,0_19,14584.578691,6828284.0,6828362.0
1b,mixed,mem,ns_m_bwop,0_2,16238.411429,7187594.0,7187716.0
1b,mixed,mem,ns_m_bwop,0_21,20284.403033,7548058.0,7548193.0
1b,mixed,mem,ns_m_bwop,0_22,988737.993632,7891705.0,7891851.0
1b,mixed,mem,ns_m_bwop,0_23,5403371.914677,8165752.0,8165940.0
1b,mixed,mem,ns_m_bwop,0_24,10780490.416631,8402005.0,8402213.0
1b,mixed,mem,ns_m_bwop,0_25,15779694.039867,8627709.0,8627942.0
1b,mixed,mem,ns_m_bwop,0_26,22471460.420755,8811633.0,8811876.0
1b,mixed,mem,ns_m_bwop,0_27,28823887.932141,8990970.0,8991218.0
1b,mixed,mem,ns_m_bwop,0_28,36043125.898429,9147393.0,9147660.0
1b,mixed,mem,ns_m_bwop,0_29,42602653.12082,9301915.0,9302169.0
1b,mixed,mem,ns_l_bwop,0_01,8173.568173,359871.0,359872.0
1b,mixed,mem,ns_l_bwop,0_02,8261.243767,719813.0,719818.0
1b,mixed,mem,ns_l_bwop,0_03,8367.378359,1079452.0,1079458.0
1b,mixed,mem,ns_l_bwop,0_04,8480.718002,1438058.0,1438068.0
1b,mixed,mem,ns_l_bwop,0_05,8602.872999,1796350.0,1796367.0
1b,mixed,mem,ns_l_bwop,0_06,8738.026952,2155392.0,2155407.0
1b,mixed,mem,ns_l_bwop,0_07,8885.764856,2515138.0,2515163.0
1b,mixed,mem,ns_l_bwop,0_08,9041.084231,2874591.0,2874616.0
1b,mixed,mem,ns_l_bwop,0_09,9219.796188,3234004.0,3234032.0
1b,mixed,mem,ns_l_bwop,0_1,9412.280554,3593851.0,3593887.0
1b,mixed,mem,ns_l_bwop,0_11,9621.48456,3952431.0,3952472.0
1b,mixed,mem,ns_l_bwop,0_12,9862.815926,4311893.0,4311936.0
