bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,ft_x_noci_augmclb_hops,,6838474500.0,12209013.0,181908.821075,776538463.0,13676945.0
blackscholes,kite_large_noci_augmclb_hops,,6994820500.0,12553625.0,70839.183201,790179320.0,13856100.0
blackscholes,ns_l_latop_noci_augmclb_hops,,6855767000.0,11980099.0,58449.103657,770865963.0,13711530.0
blackscholes,butter_donut_x_noci_augmclb_hops,,6969428500.0,12510754.0,70214.952022,791820000.0,13937831.0
blackscholes,dbl_bfly_x_noci_augmclb_hops,,7801315000.0,12549166.0,109748.987142,808653846.0,15126261.0
blackscholes,kite_medium_noci_augmclb_hops,,6816832500.0,12482853.0,99643.484095,780364430.0,13633661.0
blackscholes,kite_small_noci_augmclb_hops,,6799237000.0,11837425.0,45588.067381,759070851.0,13358728.0
blackscholes,ns_m_bwop_noci_augmclb_hops,,6827704500.0,12287230.0,123466.998079,775922771.0,13655405.0
blackscholes,ns_s_scop_noci_augmclb_hops,,6777029000.0,11885831.0,44619.187598,762381009.0,13554054.0
blackscholes,ns_l_scop_noci_augmclb_hops,,6871577500.0,12258874.0,60888.424561,778948677.0,13743151.0
blackscholes,ns_m_latop_noci_augmclb_hops,,6819467000.0,12234285.0,119622.307422,771450818.0,13638930.0
blackscholes,ns_s_bwop_noci_augmclb_hops,,6765550500.0,11940749.0,51352.889735,762817497.0,13531028.0
blackscholes,ns_m_scop_noci_augmclb_hops,,6822766000.0,12062235.0,71429.219664,771973935.0,13645528.0
blackscholes,lpbt_s_power_noci_augmclb_hops,,6821243000.0,12257171.0,209772.431158,774423953.0,13642482.0
blackscholes,ns_l_bwop_noci_augmclb_hops,,6894092500.0,12371134.0,62571.506406,774251678.0,13788181.0
dedup,ns_s_latop_noci_augmclb_hops,
dedup,ns_m_scop_noci_augmclb_hops,
dedup,mesh_noci_naive_hops,
dedup,butter_donut_x_noci_augmclb_hops,
dedup,ns_l_latop_noci_augmclb_hops,
dedup,ns_m_bwop_noci_augmclb_hops,
dedup,lpbt_m_latop_noci_augmclb_hops,
dedup,kite_medium_noci_augmclb_hops,
dedup,ns_m_latop_noci_augmclb_hops,
dedup,ns_s_bwop_noci_augmclb_hops,
dedup,lpbt_s_latop_noci_augmclb_hops,
dedup,lpbt_s_power_noci_augmclb_hops,
dedup,kite_large_noci_augmclb_hops,
dedup,kite_small_noci_augmclb_hops,
dedup,ft_x_noci_augmclb_hops,
dedup,dbl_bfly_x_noci_augmclb_hops,
dedup,ns_l_bwop_noci_augmclb_hops,
dedup,ns_l_scop_noci_augmclb_hops,
dedup,ns_s_scop_noci_augmclb_hops,
x264,ns_l_latop_noci_augmclb_hops,,4965829791000.0,14035712.0,33304.230755,930195377.0,24105084.0
x264,ns_m_bwop_noci_augmclb_hops,,4965821823500.0,13935531.0,32300.886382,925517877.0,23464671.0
x264,ns_m_scop_noci_augmclb_hops,,4965798175000.0,13784635.0,31631.270269,914316147.0,23241765.0
x264,mesh_noci_naive_hops,
x264,ns_s_latop_noci_augmclb_hops,,4965757122500.0,13462563.0,27564.256832,879737278.0,21599761.0
x264,dbl_bfly_x_noci_augmclb_hops,,4965824240000.0,14887836.0,35513.892264,949459791.0,24272669.0
x264,butter_donut_x_noci_augmclb_hops,,4965836843000.0,14289697.0,35018.898532,942047853.0,23415982.0
x264,ft_x_noci_augmclb_hops,,4965798658500.0,13848641.0,31926.268485,927244761.0,22926223.0
x264,kite_large_noci_augmclb_hops,,4965815099500.0,14009288.0,34239.329705,936366056.0,23906040.0
x264,kite_medium_noci_augmclb_hops,,4965816527000.0,14228276.0,31668.609517,914105846.0,23542778.0
x264,kite_small_noci_augmclb_hops,,4965753544000.0,13977494.0,27864.931519,888451402.0,23260309.0
x264,lpbt_m_latop_noci_augmclb_hops,,4965814128500.0,13983784.0,32027.336966,926160223.0,24214515.0
x264,lpbt_s_latop_noci_augmclb_hops,,4965771119500.0,13599784.0,29300.656942,905902849.0,21961107.0
x264,lpbt_s_power_noci_augmclb_hops,,4965750380000.0,13265045.0,28107.698176,884992116.0,22681377.0
x264,ns_l_bwop_noci_augmclb_hops,,4965873636500.0,13990671.0,33157.120227,929370993.0,24964170.0
x264,ns_l_scop_noci_augmclb_hops,,4965838344000.0,14119149.0,33584.691379,928998623.0,24318546.0
x264,ns_m_latop_noci_augmclb_hops,,4965798107000.0,13910591.0,32045.011931,921580606.0,23123874.0
x264,ns_s_bwop_noci_augmclb_hops,,4965760619500.0,13882124.0,27297.788179,883101154.0,22298821.0
x264,ns_s_scop_noci_augmclb_hops,,4965753012000.0,13523943.0,27869.164326,888661188.0,22721892.0
